,day,month,year,latitude,longitude,Specie
0,17,5,2024,22.3726257,114.1135305,Aedes aegypti  
1,7,5,2024,33.9114535,-98.4931295,Aedes aegypti  
2,5,5,2024,-20.7609469576,-42.8692856804,Aedes aegypti  
3,6,5,2024,-22.5663209722,17.0881459722,Aedes aegypti  
4,28,4,2024,29.5488577338,-98.7062951016,Aedes aegypti  
5,4,5,2024,-27.4853412478,-58.8168650731,Aedes aegypti  
6,9,5,2024,-33.3463376852,18.8682130829,Aedes aegypti  
7,16,5,2024,-7.7528495789,110.50050354,Aedes aegypti  
8,30,4,2024,21.9001607593,-102.2568921019,Aedes aegypti  
9,12,5,2024,24.7554114315,-107.4727845937,Aedes aegypti  
10,8,5,2024,24.6839654497,55.7416281849,Aedes aegypti  
11,4,5,2024,-34.5691974327,-58.586241963,Aedes aegypti  
12,13,5,2024,-20.2083295943,28.5774069879,Aedes aegypti  
13,7,4,2024,-34.9080443058,-57.9484692923,Aedes aegypti  
14,28,4,2024,-25.5515611111,-54.5814666667,Aedes aegypti  
15,3,5,2024,27.997296659,-82.5710868642,Aedes aegypti  
16,3,5,2024,17.1293731,-96.8020125,Aedes aegypti  
17,5,5,2024,33.5016529,-88.3856712,Aedes aegypti  
18,2,5,2024,-23.5533521,-46.6749888,Aedes aegypti  
19,3,5,2024,26.3249365625,-98.0837870427,Aedes aegypti  
20,28,4,2024,25.7783583333,-100.306655,Aedes aegypti  
21,1,8,2006,9.4215025372,-84.1625295542,Aedes aegypti  
22,4,5,2024,18.9904469722,-99.2495689722,Aedes aegypti  
23,1,5,2024,33.16069753,-96.6194762,Aedes aegypti  
24,8,5,2024,-21.1694759997,-47.8490532,Aedes aegypti  
25,27,4,2024,25.8123226111,-100.2429199167,Aedes aegypti  
26,21,5,2024,-20.6395866507,32.023894228,Aedes aegypti  
27,10,5,2024,37.2225929867,-120.5847340372,Aedes aegypti  
28,12,3,2024,14.445199605,-60.8799403717,Aedes aegypti  
29,14,5,2024,33.8851320997,-98.5399742,Aedes aegypti  
30,28,4,2024,4.9138525799,-52.2691608533,Aedes aegypti  
31,28,5,2024,14.7846083333,-91.9823222222,Aedes aegypti  
