,day,month,year,latitude,longitude,Specie
0,15,5,2024,33.45319657,-88.83985782,Aedes albopictus  
1,13,5,2024,44.6939750015,12.1795772016,Aedes albopictus  
2,4,5,2024,26.0902403997,-80.1983203,Aedes albopictus  
3,29,4,2024,38.1936440917,15.2406375714,Aedes albopictus  
4,28,4,2024,24.7476555556,121.0839722222,Aedes albopictus  
5,28,4,2024,26.8895305556,-80.1094138889,Aedes albopictus  
6,28,4,2024,15.4914966667,74.9862283333,Aedes albopictus  
7,7,5,2024,32.1174263659,118.5858824173,Aedes albopictus  
8,8,5,2024,35.8153692305,139.5656425168,Aedes albopictus  
9,19,4,2024,22.18888697,113.5576521892,Aedes albopictus  
10,20,4,2024,29.9590033333,-95.722825,Aedes albopictus  
11,5,1,2013,-12.7895083333,45.2799333333,Aedes albopictus  
12,12,5,2024,21.4053727474,-157.9515077787,Aedes albopictus  
13,4,5,2024,32.8017111111,-96.7716027778,Aedes albopictus  
14,1,5,2024,23.0491027778,-99.1565944444,Aedes albopictus  
15,27,4,2024,24.8893354756,121.6657810061,Aedes albopictus  
16,8,5,2024,25.1076359499,121.5659913,Aedes albopictus  
17,12,5,2024,38.3260033333,-85.8237383333,Aedes albopictus  
18,5,5,2024,33.9311633333,-83.34018,Aedes albopictus  
19,4,5,2024,48.1823883333,16.415475,Aedes albopictus  
20,1,5,2024,42.3243851995,3.094853099,Aedes albopictus  
21,28,4,2024,33.8072498513,-84.3555981476,Aedes albopictus  
22,9,5,2024,30.5758361816,-96.3186416626,Aedes albopictus  
23,16,4,2024,19.9175014472,-155.8849192411,Aedes albopictus  
24,11,5,2024,39.3945466667,-7.3359666667,Aedes albopictus  
25,4,5,2024,30.654630661,-96.2187576294,Aedes albopictus  
26,14,5,2024,18.0067680375,-76.7503840104,Aedes albopictus  
27,4,5,2024,47.6326556,19.0381497,Aedes albopictus  
28,9,5,2024,31.9789035924,-81.1702742055,Aedes albopictus  
29,22,2,2013,-12.7855541982,45.2795871002,Aedes albopictus  
30,4,5,2024,35.9175633333,-75.704405,Aedes albopictus  
31,2,11,2013,-12.7868692094,45.2803139975,Aedes albopictus  
32,19,5,2024,35.2132014,25.5218634997,Aedes albopictus  
33,14,4,2023,25.0928863118,110.2833366406,Aedes albopictus  
34,19,5,2024,26.5708166667,106.7024027778,Aedes albopictus  
35,19,5,2024,36.2958237167,139.0537368972,Aedes albopictus  
36,19,5,2024,46.784145,15.563694,Aedes albopictus  
37,27,4,2024,29.4064825632,-98.314315696,Aedes albopictus  
38,11,5,2024,45.2600992419,8.729754958,Aedes albopictus  
39,11,5,2024,45.366312,10.218759,Aedes albopictus  
40,28,4,2024,26.18041766,-98.3308612,Aedes albopictus  
41,16,5,2024,38.9300027298,-77.0562113685,Aedes albopictus  
42,4,5,2024,41.8748033333,12.4735466667,Aedes albopictus  
43,11,5,2024,40.154884,116.2676479722,Aedes albopictus  
44,12,5,2024,22.2476214822,114.1553238686,Aedes albopictus  
45,11,5,2024,30.2059717133,-95.5398058588,Aedes albopictus  
46,11,5,2024,33.9117666667,-83.35035,Aedes albopictus  
47,11,5,2024,30.3566031773,-91.0950407516,Aedes albopictus  
48,11,5,2024,30.5831397,-92.0508983997,Aedes albopictus  
49,2,5,2024,34.246887207,-84.0145721436,Aedes albopictus  
50,30,4,2024,22.7244099911,114.0166709718,Aedes albopictus  
51,9,5,2024,22.405308745,114.2243516195,Aedes albopictus  
52,30,4,2024,34.0280791445,-118.3998846272,Aedes albopictus  
53,2,5,2024,30.4327697754,-97.6056060791,Aedes albopictus  
54,4,5,2024,26.5739583333,106.7014833333,Aedes albopictus  
55,11,5,2024,29.9459444444,-89.9552666667,Aedes albopictus  
56,3,5,2024,32.5864548653,-97.8602559054,Aedes albopictus  
57,14,5,2024,10.0586841139,76.3279917222,Aedes albopictus  
58,6,5,2024,30.4180388889,-97.7888861111,Aedes albopictus  
59,29,4,2024,22.4257468,114.1812086,Aedes albopictus  
60,16,5,2024,39.6930410171,-84.1926249549,Aedes albopictus  
61,20,5,2024,38.9267664,-76.9652409,Aedes albopictus  
62,18,5,2024,38.5932679884,-91.1259605218,Aedes albopictus  
63,9,5,2024,30.3807606444,-85.8300515044,Aedes albopictus  
64,18,5,2024,38.5932679884,-91.1259605218,Aedes albopictus  
65,9,5,2024,26.6257305556,106.6593388889,Aedes albopictus  
66,4,5,2024,24.8340463669,121.7699812338,Aedes albopictus  
67,4,8,2022,38.7666563292,-89.9618001214,Aedes albopictus  
68,6,5,2024,35.7492706875,-78.3433606211,Aedes albopictus  
69,28,4,2024,40.0138226997,-75.1909571997,Aedes albopictus  
70,13,5,2024,29.8517273,-95.7234007,Aedes albopictus  
71,30,4,2024,37.6055866667,-77.3379533333,Aedes albopictus  
72,13,5,2024,33.0834922791,-96.4457321167,Aedes albopictus  
73,16,5,2024,5.7150557127,100.6628513709,Aedes albopictus  
